College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
Texas A&M University,Blake Binderup,46,INF,R-So.,78,230,R/R,College Station,"College Station, Texas",2025
Texas A&M University,Hayden Crites,47,C,Fr.,72,200,S/R,Paradise,"Bridgeport, Texas",2025
Texas A&M University,Marco Jones,48,INF/OF,Fr.,77,245,R/R,San Ramon Valley,"Dublin, Calif.",2025
Texas A&M University,Austin Vargas,49,LHP,R-Fr.,80,235,L/L,Fulshear,"Brookshire, Texas",2025
Texas A&M University,Rylan Hill,51,LHP,Fr.,75,200,L/L,Bryan,"Bryan, Texas",2025
Texas A&M University,Peyton Smith,62,RHP,Jr.,76,225,R/R,East Robertson,"Springfield, Tenn.",2025
Texas A&M University,Kyrin LeBlanc,99,RHP,Jr.,75,215,R/R,St. Martinville Senior,"St. Martinville, La.",2025
University of Southern Mississippi,Joey Urban,1,OF,Jr.,72,193,R/R,Jupiter Community HS,"Jupiter, Fla.",2025
University of Southern Mississippi,Jake Cook,2,OF/LHP,R-So.,75,185,L/L,Madison Central HS,"Madison, Miss.",2025
University of Southern Mississippi,Seth Smith,3,INF,So.,74,194,L/R,Mobile Christian HS,"Mobile, Ala.",2025
University of Southern Mississippi,Ozzie Pratt,4,INF,Sr.,71,170,R/R,Magnolia Heights HS,"Alesville, Miss.",2025
University of Southern Mississippi,Ty Long,5,INF/RHP,Fr.,72,186,R/R,Ripley HS,"Ripley, Miss.",2025
University of Southern Mississippi,Colby Allen,6,RHP,Jr.,71,190,R/R,Starkville Academy,"Louisville, Miss.",2025
University of Southern Mississippi,Ben Higdon,7,OF,R-Jr.,74,201,L/R,McCracken County HS,"Paducah, Ky.",2025
University of Southern Mississippi,Nick Monistere,8,INF,Jr.,72,192,R/R,Northwest Rankin HS,"Brandon, Miss.",2025
University of Southern Mississippi,Lawson Odom,10,C/INF,So.,70,190,R/R,West Jones HS,"Laurel, Miss.",2025
University of Southern Mississippi,Davis Gillespie,11,OF,R-So.,73,225,R/R,Oak Mountain HS,"Birmingham, Ala.",2025
University of Southern Mississippi,Kros Sivley,12,LHP,Jr.,71,188,L/L,Sumrall HS,"Sumrall, Miss.",2025
University of Southern Mississippi,Matthew Adams,13,RHP,Gr.,71,190,R/R,Pearland HS,"Pearland, Texas",2025
University of Southern Mississippi,Camden Sunstrom,14,RHP,Fr.,74,200,R/R,University Lab HS,"Baton Rouge, La.",2025
University of Southern Mississippi,Drey Barrett,15,INF,Fr.,75,214,R/R,Holtville HS,"Holtville, Ala.",2025
University of Southern Mississippi,Grayden Harris,16,LHP,Fr.,73,210,L/L,Central HS,"Greenwell Springs, La.",2025
University of Southern Mississippi,JB Middleton,18,RHP,Jr.,72,178,R/R,Benton Academy,"Yazoo City, Miss.",2025
University of Southern Mississippi,Matthew Russo,19,INF,Jr.,74,255,L/R,Saint Paul's School,"Madisonville, La.",2025
University of Southern Mississippi,Michael Fowler,21,RHP,Gr.,75,210,R/R,Hewitt-Trussville HS,"Trussville, Ala.",2025
